category,line_item,march_actual,march_budget,march_variance,ytd_actual,ytd_budget,ytd_variance,march_variance_pct,ytd_variance_pct
revenue,Gaming Machine Revenue,5948683.1,5500702.0,447981.1,31638455.25,27992174.0,3646281.25,8.144071429428463,13.026073823347911
revenue,Total Revenue,5948683.1,5500702.0,447981.1,31638455.25,27992174.0,3646281.25,8.144071429428463,13.026073823347911
direct_reimbursement,Gaming NAFI,2721449.31,2551475.0,169974.31,14323105.36,14023409.0,299696.36,6.661805818203197,2.1371148769888975
direct_reimbursement,Total Direct Reimbursement,2721449.31,2551475.0,169974.31,14323105.36,14023409.0,299696.36,6.661805818203197,2.1371148769888975
net_revenue,Net Revenue,3227233.79,2949227.0,278006.79,17315349.89,13968765.0,3346584.89,9.426429026995887,23.95762896719932
operating_expenses,Compensation & Benefits,795488.35,776020.0,19468.35,4308932.05,5028851.0,-719918.95,2.508743331357439,-14.315774120171785
operating_expenses,Depreciation Expense,322778.78,307727.0,15051.78,1729965.76,1846362.0,-116396.24,4.89127700851729,-6.304085547687832
operating_expenses,Contractor Fees,19112.0,4144.0,14968.0,33799.5,24864.0,8935.5,361.1969111969112,35.9375
operating_expenses,Communications,23215.24,26065.0,-2849.76,108531.26,156390.0,-47858.74,-10.933282179167467,-30.602174052049364
operating_expenses,TDY,67366.02,20154.0,47212.02,256980.36,313325.0,-56344.64,234.25632628758558,-17.982810181121838
operating_expenses,PCS,1905.28,10198.0,-8292.72,93794.49,61188.0,32606.49,-81.31712100411845,53.28902726024711
operating_expenses,IT Expense & Maint,27761.9,98437.0,-70675.1,181898.53,590622.0,-408723.47,-71.79729166878307,-69.20220885778043
operating_expenses,Machine Expense & Maint,167906.54,160740.0,7166.54,439126.52,964440.0,-525313.48,4.458467089710091,-54.46823856331135
operating_expenses,Vehicle Expense,4337.34,6003.0,-1665.66,43982.37,32558.0,11424.37,-27.74712643678161,35.089286811229194
operating_expenses,Training .00,0.0,9000.0,-9000.0,0.0,54600.0,-54600.0,-100.0,-100.0
operating_expenses,(Gain)/Loss on Disposals,110234.73,0.0,110234.73,149937.12,0.0,149937.12,0.0,0.0
operating_expenses,Audit-Independent,9834.5,9251.0,583.5,59007.0,55506.0,3501.0,6.307426224191979,6.307426224191979
operating_expenses,Audit-IMCOM Int Review,6019.91,4956.0,1063.91,19925.36,29736.0,-9810.64,21.467110573042778,-32.9924670433145
operating_expenses,Other Expenses,25333.72,26024.0,-690.28,142714.1,156144.0,-13429.9,-2.6524746387949585,-8.60097089865765
net_operating_income,Net Operating Income,1645939.48,1490508.0,155431.48,9746755.47,4654179.0,5092576.47,10.428087605031305,109.41943724124062
other_income,Interest Revenue,73017.13,19945.0,53072.13,318478.37,119670.0,198808.37,266.09240411130605,166.13050054316037
net_income,Net Income,1710797.93,1510453.0,200344.93,10065558.29,4773849.0,5291709.29,13.263896989843444,110.84785651996954
