category,line_item,march_actual,march_budget,march_variance,ytd_actual,ytd_budget,ytd_variance,march_variance_pct,ytd_variance_pct
revenue,Gaming Machine Revenue,1766523.1,1364897.0,401626.1,22870169.65,16509728.0,6360441.65,29.425377885657305,38.525417559877425
revenue,Total Revenue,1766523.1,1364897.0,401626.1,22870169.65,16509728.0,6360441.65,29.425377885657305,38.525417559877425
direct_reimbursement,Gaming NAFI,364612.05,278508.0,86104.05,4774353.5,3368828.0,1405525.5,30.91618553147486,41.7214978027967
direct_reimbursement,Total Direct Reimbursement,364612.05,278508.0,86104.05,4774353.5,3368828.0,1405525.5,30.91618553147486,41.7214978027967
net_revenue,Net Revenue,1401911.05,1086389.0,315522.05,18095816.15,13140900.0,4954916.15,29.04319263173688,37.70606389212307
operating_expenses,Compensation & Benefits,185016.66,187123.0,-2106.34,2000796.2,2431471.0,-430674.8,-1.1256446294683178,-17.71252052769702
operating_expenses,Depreciation Expense,81210.78,100617.0,-19406.22,1097706.21,1207415.0,-109708.79,-19.28721786576821,-9.086253690735994
operating_expenses,Contractor Fees,581.1,995.0,-413.9,5275.33,11907.0,-6631.67,-41.597989949748744,-55.695557235239775
operating_expenses,Communications,5693.01,5774.0,-80.99,77790.36,69332.0,8458.36,-1.4026671285071008,12.19979230369815
operating_expenses,TDY,86.52,1715.0,-1628.48,3294.18,56739.0,-53444.82,-94.95510204081633,-94.19415217046476
operating_expenses,PCS,2445.65,4594.0,-2148.35,2907.62,55117.0,-52209.38,-46.76425772747061,-94.72464031061196
operating_expenses,IT Expense & Maint,5793.42,8076.0,-2282.58,81949.93,96857.0,-14907.07,-28.263744427934622,-15.390802936287518
operating_expenses,Machine Expense & Maint,471.75,15559.0,-15087.25,158473.29,186796.0,-28322.71,-96.96799280159392,-15.162374997323283
operating_expenses,Vehicle Expense,339.7,614.0,-274.3,5607.21,7390.0,-1782.79,-44.6742671009772,-24.124357239512857
operating_expenses,Training .00,0.0,1445.0,-1445.0,340.17,26972.0,-26631.83,-100.0,-98.73880320332196
operating_expenses,Audit-Independent,2134.12,2112.0,22.12,20945.63,25344.0,-4398.37,1.0473484848484849,-17.354679608585858
operating_expenses,Audit-IMCOM Int Review,2017.63,368.0,1649.63,6427.47,4416.0,2011.47,448.2690217391305,45.54959239130435
operating_expenses,Other Expenses,33.21,7153.0,-7119.79,75188.52,85912.0,-10723.48,-99.53571927862436,-12.481935003259148
net_operating_income,Net Operating Income,1116087.5,750244.0,365843.5,14559114.03,8875232.0,5683882.03,48.763269016479974,64.04206706934534
other_income,Interest Revenue,7512.28,10795.0,-3282.72,115523.61,129562.0,-14038.39,-30.409634089856414,-10.83526805699202
net_income,Net Income,1123599.78,761039.0,362560.78,14674414.54,9004794.0,5669620.54,47.64023657131895,62.962245888134696
