category,line_item,march_actual,march_budget,march_variance,ytd_actual,ytd_budget,ytd_variance,march_variance_pct,ytd_variance_pct
revenue,Total Revenue,1929497.45,2217174.0,-287676.55,22427502.8,24272425.0,-1844922.2,-12.974919875481131,-7.600897726535358
direct_reimbursement,Total Direct Reimbursement,1435573.25,1739239.0,-303665.75,17493610.34,18977312.0,-1483701.66,-17.459690703807816,-7.818291968852069
net_revenue,Net Revenue,493924.2,477935.0,15989.2,4933892.46,5295113.0,-361220.54,3.345475849226359,-6.821772075496783
operating_expenses,Compensation & Benefits,296068.03,232987.0,63081.03,2993621.92,2769382.0,224239.92,27.074914050998554,8.097110474466868
operating_expenses,Depreciation Expense,143069.07,158146.0,-15076.93,1203254.35,1474460.0,-271205.65,-9.533551275403742,-18.393557641441614
operating_expenses,Contractor Fees,4440.31,1631.0,2809.31,28690.99,17941.0,10749.99,172.24463519313304,59.91856641212864
operating_expenses,Communications,3555.73,7650.0,-4094.27,70081.14,84150.0,-14068.86,-53.51986928104575,-16.71878787878788
operating_expenses,TOY,12253.79,14363.0,-2109.21,171022.36,114741.0,56281.36,-14.685024020051522,49.05078393948109
operating_expenses,PCS,14217.0,877.0,13340.0,96976.19,9647.0,87329.19,1521.0946408209804,905.2471234580698
operating_expenses,IT Expense & Maint,10808.58,38135.0,-27326.42,125259.3,419485.0,-294225.7,-71.65706044316245,-70.13974277983719
operating_expenses,Machine Expense & Maint,8916.17,19418.0,-10501.83,802890.24,213598.0,589292.24,-54.08296425996498,275.88846337512524
operating_expenses,Vehicle Expense,2980.59,1939.0,1041.59,20504.43,21329.0,-824.57,53.71789582258896,-3.8659571475455956
operating_expenses,Training,3129.79,250.0,2879.79,6350.73,31620.0,-25269.27,1151.916,-79.91546489563568
operating_expenses,(Gain)/Loss on Disposals,1661.48,0.0,1661.48,146209.05,0.0,146209.05,0.0,0.0
operating_expenses,Audit-Independent,3719.6,3694.0,25.6,36756.31,40634.0,-3877.69,0.6930157011369789,-9.542968942265098
operating_expenses,Audit-IMCOM Int Review,1964.44,1997.0,-32.56,12258.17,21967.0,-9708.83,-1.6304456685027544,-44.19734146674557
net_operating_income,Net Operating Income,20778.0,-71.0,-13000.0,-7778.71,881477.0,-84.0,18309.859154929578,-0.009529460212801922
other_income,Interest Revenue,27293.09,7870.0,19423.09,260674.67,86570.0,174104.67,246.79911054637867,201.1143236687074
net_income,Net Income,3942.47,-5130.0,9072.47,-627249.51,54401.0,-681650.51,-176.8512670565302,-1253.0109924449919
