category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,5306574.85,3254196.9,871345.6,1181032.35,61.323866938388704,16.42011324875593,22.25601981285537
revenue,Total Revenue,5306574.85,3254196.9,871345.6,1181032.35,61.323866938388704,16.42011324875593,22.25601981285537
direct_reimbursement,Gaming NAFI,2232768.31,612764.15,691885.46,928118.7,27.444143991814357,30.987785741190493,41.56807026699514
direct_reimbursement,Total Direct Reimbursement,2232768.31,612764.15,691885.46,928118.7,27.444143991814357,30.987785741190493,41.56807026699514
net_revenue,Net Revenue,3073806.54,2641432.75,179460.14,252913.65,85.93360433152048,5.8383680841540535,8.22802758432546
operating_expenses,Compensation & Benefits,709229.42,413903.84,161275.92,134049.66,58.35965462346444,22.739598140189955,18.900747236345612
operating_expenses,Depreciation Expense,353144.85,211707.13,75539.48,65898.24,59.94909171123408,21.390508738836203,18.660399549929725
operating_expenses,Contractor Fees,3685.0,2083.58,863.65,737.77,56.54219810040705,23.436906377204885,20.02089552238806
operating_expenses,Communications,24256.59,18792.77,3122.81,2341.01,77.47490475784107,12.874068449027664,9.651026793131269
operating_expenses,TDY,7258.96,6547.61,676.31,35.04,90.2003868322735,9.316899390546302,0.48271377718020214
operating_expenses,PCS,20183.08,-4865.64,24834.07,214.65,-24.107519764079615,123.04400517661327,1.0635145874663332
operating_expenses,IT Expense & Maint,92354.24,48326.3,26342.35,17685.59,52.32710485192666,28.52316255322982,19.149732594843506
operating_expenses,Machine Expense & Maint,32147.13,19851.22,9578.88,2717.03,61.75114232592459,29.79699898560151,8.451858688473902
operating_expenses,Vehicle Expense,9722.24,8914.68,496.18,311.38,91.69368376012113,5.10355638206833,3.2027598578105456
operating_expenses,Training,740.0,418.43,173.42,148.15,56.5445945945946,23.435135135135134,20.02027027027027
operating_expenses,Audit-Independent,9251.17,5230.79,2168.2,1852.18,56.54192929110589,23.437035531721932,20.021035177172188
operating_expenses,Audit-IMCOM Int Review,2717.77,1536.69,636.95,544.13,56.54231226336298,23.436493890211462,20.02119384642556
operating_expenses,Other Expenses,26039.14,15296.77,5347.62,5394.75,58.74529650364797,20.536853367661145,20.717850128690888
net_operating_income,Net Operating Income,1783076.95,1893688.58,-131595.7,20984.07,106.20341315050929,-7.380259163801092,1.1768460132917986
other_income,Interest Revenue,26118.08,15479.36,5206.88,5431.84,59.266837378551564,19.935921782918193,20.797240838530243
net_income,Net Income,1809314.48,1909272.33,-126372.91,26415.06,105.52462554768258,-6.9845740691800575,1.45994852149749
